"objectid","beeld","band","npixels","mean","sd","median","max","min","q05","q10","q90","q95"
"1576558","lc8x_l1tp_2016339_1647_2017076_xxxx_tct","3","30","10059.5666666667","453.688004852593","9987","11155","9413","9498.15","9538.2","10522.3","10881.7"
"1576558","lc8x_l1tp_2016362_2218_2017073_xxxx_tct","1","29","14027","314.300015908367","14025","14482","13142","13604","13659","14410.4","14452"
"1576558","lc8x_l1tp_2016362_2218_2017073_xxxx_tct","2","29","12566.275862069","181.845675652996","12580","12843","12297","12312.6","12338.8","12802.6","12823.4"
"1576558","lc8x_l1tp_2016362_2218_2017073_xxxx_tct","3","29","9623.72413793103","411.011721813357","9570","10324","9009","9075.8","9103.6","10210.6","10236.6"
"1576558","lc8x_l1tp_2017005_0150_2017071_xxxx_tct","1","31","13750.8387096774","608.991192972673","13791","14637","12418","12507.5","12886","14462","14557.5"
"1576558","lc8x_l1tp_2017005_0150_2017071_xxxx_tct","2","31","12324.5806451613","127.243277279797","12293","12785","12200","12207","12214","12496","12511"
"1576558","lc8x_l1tp_2017005_0150_2017071_xxxx_tct","3","31","9870.35483870968","348.393699559095","9767","10876","9394","9434.5","9498","10277","10507"
"1576558","lc8x_l1tp_2017012_1607_2017070_xxxx_tct","1","29","17403.5517241379","205.462646276101","17357","17796","17144","17157.4","17188.8","17697","17764.8"
"1576558","lc8x_l1tp_2017012_1607_2017070_xxxx_tct","2","29","13253.1034482759","39.0607080869786","13245","13343","13190","13205.2","13211.6","13315.2","13318.4"
"1576558","lc8x_l1tp_2017012_1607_2017070_xxxx_tct","3","29","8225.93103448276","53.6815551153831","8231","8292","8108","8135.2","8149","8284.8","8289.2"
"1576558","lc8x_l1tp_2017021_0636_2017070_xxxx_tct","1","31","14487.5161290323","401.469539813233","14459","15354","13883","13966.5","14031","15085","15160.5"
"1576558","lc8x_l1tp_2017021_0636_2017070_xxxx_tct","2","31","12128","51.1207720338155","12128","12216","12016","12045.5","12067","12184","12194"
"1576558","lc8x_l1tp_2017021_0636_2017070_xxxx_tct","3","31","10621.2903225806","168.891522097941","10615","10967","10321","10364","10413","10820","10885.5"
"1576558","lc8x_l1tp_2017044_1455_2017059_xxxx_tct","1","29","15343.2413793103","467.349032551262","15169","16816","14442","14969","15060","15837","16306.6"
"1576558","lc8x_l1tp_2017044_1455_2017059_xxxx_tct","2","29","11838.8965517241","49.926621032118","11826","11993","11783","11785.6","11792.8","11912.2","11917"
"1576558","lc8x_l1tp_2017044_1455_2017059_xxxx_tct","3","29","10165.6206896552","464.250733809183","10040","11459","9545","9596","9649.8","10707.4","11086"
"1576558","lc8x_l1tp_2017060_1618_2017075_xxxx_tct","1","29","15544.9310344828","2328.68267376083","14271","20817","13110","13681.4","13850","19362.6","19871.8"
"1576558","lc8x_l1tp_2017060_1618_2017075_xxxx_tct","2","29","12315.1034482759","479.529705978948","12115","13219","11754","11885","11894.2","13155.2","13184.8"
"1576558","lc8x_l1tp_2017060_1618_2017075_xxxx_tct","3","29","10287.7931034483","660.122736385891","10066","11618","9464","9530.2","9602.6","11465.6","11527.8"
"1576558","lc8x_l1tp_2017069_0611_2017076_xxxx_tct","1","31","13949.7096774194","247.776000122205","13885","14426","13463","13525.5","13695","14273","14281"
"1576558","lc8x_l1tp_2017069_0611_2017076_xxxx_tct","2","31","11573.5806451613","148.266151271635","11595","11813","11309","11318","11326","11722","11780.5"
"1576558","lc8x_l1tp_2017069_0611_2017076_xxxx_tct","3","31","9933.93548387097","327.179047361316","9851","10861","9476","9555.5","9611","10337","10562.5"
"1576558","lc8x_l1tp_2017092_0609_2017104_xxxx_tct","1","29","14035.4137931034","170.857400283181","14069","14432","13690","13728.6","13797.2","14209.8","14241.8"
"1576558","lc8x_l1tp_2017092_0609_2017104_xxxx_tct","2","29","12887.724137931","466.398962917841","13008","13550","11999","12164.4","12254.4","13497.2","13525"
"1576558","lc8x_l1tp_2017092_0609_2017104_xxxx_tct","3","29","9635.72413793103","295.645528166964","9640","10202","9205","9224","9247.2","10043.8","10093.8"
